Sexe,Age_Bac,Serie_Bac,Etablissement,Lieu_Habitation_Bac,Matieres_Preferees,Secteur_Desire,Competences_Techniques,Note_Maths,Note_Francais_Ecrit,Note_Francais_Oral,Note_Anglais_Ecrit,Note_Anglais_Oral,Note_Philo,Note_Physique_Chimie,Note_SVT,Note_Histoire_Geo,Note_EPS,Note_Espagnol_Ecrit,Note_Espagnol_Oral,Note_Facultative_1,Note_Facultative_2,Points_BAC,Personnalite,Religion,Secteur_Activite_Famille,Secteur_Activite,Justification_Choix,Descriptions
Masculin,19,C,Lycée municipale d'abobo,abobo houphouet boigny,"Mathematiques, SVT, Science Physique, Français, PHYLOSOPHIE, EPS",Santé,la compréhension du raisonnement philosophie ,10.0,12.0,11.0,13.0,12.0,11.0,10.0,10.0,8.0,12.0,11.0,12.0,15.0,14.0,248.0,"Ouvert, Sérieux, Energetique, Sympathique, Fiable, Logique, Habile, Polyvalent, Visionnaire",Islam,"Commerce / Négoce / Distribution, Métallurgie / Travail du métal, Achat / Transports / Logistique",Informatique / Télécoms,"Passion personnelle, Évolution rapide, Innovation et créativité, Environnement de travail agréable","Formation initiale, Stage ou apprentissage, Première expérience professionnelle"
Masculin,18,C,Lycée classique d'Abidjan ,Cocody,"Mathematiques, Science Physique, Histoire Geographie",Banque / Assurance /Finances,Non,14.0,12.0,14.0,12.5,14.0,10.5,17.0,12.0,12.0,15.0,11.0,12.0,15.0,14.0,265.0,"Ouvert, Chaleureux, Sérieux, Calme, Flegmatique, Diplomatique",Christianisme,"Banque / Assurance /Finances, Sciences humaines",Informatique / Télécoms,Influence familiale ou amicale,Formation initiale
Féminin,17,C,Lycée moderne d'abengourou,Abengourou ,"Mathematiques, Français",Banque / Assurance /Finances,Non,14.0,11.0,14.0,12.5,14.0,10.5,13.0,12.0,10.0,15.0,11.0,12.0,15.0,14.0,248.0,"Accessible, Motivé, Respectueux, Sociable, Entreprenant",Islam,"Textile / Habillement / Chaussure, Santé",Informatique / Télécoms,"Opportunités de carrière, Salaire attractif, Sécurité de l'emploi","Formation initiale, Stage ou apprentissage"
Masculin,17,D,Lycée moderne Alassane Ouattara d'Anyama,Anyama,"Mathematiques, Science Physique, Anglais, PHYLOSOPHIE",Informatique / Télécoms,Non,17.0,8.0,13.0,12.5,12.0,12.0,14.0,7.0,5.0,12.0,11.0,12.0,16.0,10.0,235.0,"Chaleureux, Réservé, Sérieux, Renfermé, Facile, Calme, Energetique, Sympathique, Accessible, Ambitieux, Passionné, Attentif, Cohérent, Ethique, Fiable, Logique, Polyvalent, Visionnaire, Idéaliste, Confiant, Loyal, Optimiste, Respectueux, Tolérant, Sociable",Christianisme,"Études et conseils, Informatique / Télécoms, Elevage",Informatique / Télécoms,"Passion personnelle, Évolution rapide, Innovation et créativité, Formation académique","Formation initiale, Stage ou apprentissage, Première expérience professionnelle"
Masculin,17,D,Ecole William ponty,Yopougon,"Mathematiques, SVT, Science Physique",Informatique / Télécoms,Non,10.0,12.0,13.0,12.5,16.0,8.0,11.0,10.0,13.0,16.0,11.0,12.0,15.0,14.0,200.0,"Ouvert, Chaleureux, Accessible, Passionné, Analytique, Ethique, Visionnaire, Optimiste",Christianisme,"Informatique / Télécoms, Santé",Informatique / Télécoms,Passion personnelle,Formation initiale
Masculin,17,C,Collège catholique Saint Paul de M'Badon,Cocody,"Mathematiques, SVT, Science Physique",Santé,Non,17.0,8.0,14.0,12.0,16.0,12.0,15.0,18.0,11.0,11.0,11.0,12.0,15.0,14.0,306.0,"Ouvert, Chaleureux, Accommodant",Christianisme,Santé,Banque / Assurance /Finances,Salaire attractif,Formation initiale
Masculin,22,D,COLLEGE YVAC ANYAMA ,Anyama,"Mathematiques, SVT, Science Physique",Informatique / Télécoms,Non,10.0,8.0,11.0,12.5,15.0,8.0,10.0,9.0,7.0,16.0,11.0,12.0,15.0,14.0,200.0,"Réservé, Sérieux, Autoritaire, Calme, Passionné",Islam,"Agroalimentaire, Informatique / Télécoms, Sciences humaines",Informatique / Télécoms,Innovation et créativité,Développement de compétences spécifiques
Masculin,22,D,COLLEGE YVAC ANYAMA ,ANYAMA ,"Mathematiques, SVT, Science Physique",Informatique / Télécoms,Non,10.0,9.0,11.0,12.5,15.0,9.0,10.0,9.0,7.0,16.0,11.0,12.0,15.0,14.0,248.0,"Réservé, Sérieux, Timide, Autoritaire",Islam,"Agroalimentaire, Informatique / Télécoms, Marketing",Informatique / Télécoms,Innovation et créativité,Développement de compétences spécifiques
Masculin,18,C,Lycée moderne Yopougon Andokoi,Abobo N'dotré,"Mathematiques, SVT, Science Physique, PHYLOSOPHIE, EPS",Informatique / Télécoms,Non,12.0,10.0,14.0,12.5,14.0,6.0,12.0,13.0,11.0,16.0,11.0,12.0,15.0,14.0,228.0,"Gai, Renfermé, Facile, Calme, Doux, Accessible, Ambitieux, Passionné, Attentif, Cohérent, Ethique, Proactif, Fiable, Polyvalent, Visionnaire, Idéaliste, Confiant, Loyal, Motivé, Optimiste, Respectueux, Tolérant, Entreprenant, Consciencieux",Islam,"Chimie / Parachimie, Commerce / Négoce / Distribution",Informatique / Télécoms,"Passion personnelle, Opportunités de carrière, Salaire attractif, Flexibilité","Formation initiale, Stage ou apprentissage, Certification ou formation continue"
Féminin,18,D,Lycée Moderne port bouet,Port bouet ,"Mathematiques, SVT, PHYLOSOPHIE",Sciences humaines,Non,11.0,11.0,14.0,12.5,14.0,10.0,13.0,9.0,10.0,15.0,11.0,12.0,15.0,14.0,200.0,"Ouvert, Sympathique, Polyvalent, Respectueux, Sociable, Entreprenant",Christianisme,"Commerce / Négoce / Distribution, Électronique / Électricité, Achat / Transports / Logistique",Informatique / Télécoms,"Opportunités de carrière, Sécurité de l'emploi, Formation académique, Influence familiale ou amicale",Formation initiale
Masculin,18,D,Lycée Classique d'Abidjan ,Cocody,Science Physique,Industrie pharmaceutique,Non,18.0,8.0,14.0,12.5,13.0,6.0,19.0,14.0,7.0,12.0,11.0,12.0,15.0,14.0,280.0,"Gai, Timide, Sympathique, Doux, Accessible, Ambitieux, Passionné, Fiable",Christianisme,"Banque / Assurance /Finances, Électronique / Électricité, Sciences humaines",Informatique / Télécoms,"Passion personnelle, Salaire attractif, Sécurité de l'emploi, Impact social, Flexibilité",Formation initiale
Masculin,18,D,LYCEE CLASSIQUE D'ABIDJAN,COCODY,"Mathematiques, Science Physique, Anglais",Santé,Non,11.0,12.0,15.0,12.5,16.0,10.0,19.0,15.0,10.0,11.0,11.0,12.0,14.0,14.0,269.0,"Gai, Ouvert, Chaleureux, Energetique, Doux, Ambitieux, Passionné, Attentif, Analytique, Discipliné, Visionnaire, Idéaliste, Loyal, Motivé, Optimiste, Respectueux, Consciencieux, Diplomatique",Christianisme,"Banque / Assurance /Finances, Commerce / Négoce / Distribution, Administration des entreprises",Informatique / Télécoms,"Passion personnelle, Opportunités de carrière, Sécurité de l'emploi, Évolution rapide, Formation académique","Formation initiale, Certification ou formation continue"
Masculin,16,C,Lycée Moderne Agnibilékrou ,Agnibilékrou,"Mathematiques, Science Physique, Français, PHYLOSOPHIE",Informatique / Télécoms,Non,12.0,12.0,14.0,14.0,16.0,7.0,9.0,13.0,10.0,14.0,11.0,12.0,15.0,14.0,225.0,"Gai, Ouvert, Timide, Facile, Sympathique, Anxieux, Optimiste",Christianisme,"Banque / Assurance /Finances, BTP / Matériaux de construction, Administration des entreprises, Agriculture, Hotellerie, Droit",Informatique / Télécoms,"Passion personnelle, Opportunités de carrière, Salaire attractif","Développement de compétences spécifiques, Certification ou formation continue"
Masculin,17,C,Lycée classique d’Abidjan ,Yopougon ,"Mathematiques, Science Physique, EPS",Électronique / Électricité,Non,13.0,15.0,13.0,12.5,13.0,10.0,10.0,8.0,8.0,17.0,11.0,12.0,14.0,16.0,2.0,"Ouvert, Energetique, Loyal, Optimiste, Respectueux, Diplomatique",Christianisme,"Agriculture, Droit, Santé",Informatique / Télécoms,"Sécurité de l'emploi, Influence familiale ou amicale","Formation initiale, Stage ou apprentissage"
Masculin,18,C,Lycée d'excellence Alassane Ouattara de Grand-Bassam,Grand-Bassam,"Mathematiques, SVT",Informatique / Télécoms,"Développement Web, Algorithmique",15.0,13.0,17.0,12.5,18.0,13.0,10.0,12.0,12.0,10.0,11.0,12.0,15.0,10.0,265.0,"Gai, Chaleureux, Réservé, Sérieux, Timide, Calme, Flegmatique, Ambitieux, Passionné, Anxieux, Discipliné, Ethique, Organisé, Proactif, Logique, Polyvalent, Motivé, Optimiste, Respectueux, Tolérant, Sociable, Entreprenant, Consciencieux, Méthodique, Utile",Christianisme,"BTP / Matériaux de construction, Édition / Communication / Multimédia, Informatique / Télécoms, Santé",Informatique / Télécoms,"Passion personnelle, Opportunités de carrière, Salaire attractif, Sécurité de l'emploi, Évolution rapide, Possibilité de promotion, Innovation et créativité","Formation initiale, Spécialisation dans un domaine"
Masculin,17,D,COLLEGE LE PETIT CHAMPION ABOBO,ABOBO,Espagnol,Informatique / Télécoms,Non,15.0,11.0,10.0,12.5,11.0,7.0,17.0,12.0,14.0,13.5,11.0,12.0,15.0,14.0,267.0,"Ouvert, Sérieux, Energetique, Sympathique, Fiable, Respectueux, Sociable",Islam,"Agroalimentaire, Agriculture, Elevage, Droit",Informatique / Télécoms,"Passion personnelle, Salaire attractif, Innovation et créativité","Formation initiale, Certification ou formation continue"
Masculin,17,C,LYCEE MUNICIPAL DE PORT-BOUET,PORT-BOUET,"Mathematiques, Science Physique",Santé,Non,11.0,5.0,11.0,12.5,10.0,7.0,13.0,11.0,11.0,12.0,11.0,12.0,15.0,14.0,214.0,"Ouvert, Timide, Discipliné, Consciencieux, Utile",Islam,"Textile / Habillement / Chaussure, Achat / Transports / Logistique",Informatique / Télécoms,"Passion personnelle, Innovation et créativité","Formation initiale, Développement de compétences spécifiques, Expérience internationale"
Masculin,18,D,Lycée moderne 1abobo,Abobo,"Mathematiques, SVT, Science Physique, Histoire Geographie, EPS",Santé,Non,16.0,9.0,14.0,12.5,10.0,8.0,10.0,19.0,14.0,15.0,11.0,12.0,15.0,14.0,275.0,"Chaleureux, Sérieux, Timide, Autoritaire, Ambitieux, Passionné",Islam,"Commerce / Négoce / Distribution, Achat / Transports / Logistique, Elevage",Informatique / Télécoms,"Passion personnelle, Salaire attractif, Environnement de travail agréable, Formation académique","Formation initiale, Stage ou apprentissage"
Féminin,17,D,Lycée Mamie Houphouët Fetai,Bingerville ,"Mathematiques, SVT, Science Physique, Histoire Geographie, Français, PHYLOSOPHIE",Informatique / Télécoms,"Ecrire des romans, faire des saisies sur world, la photographie ",12.0,12.0,12.0,12.5,10.0,10.0,16.0,13.0,16.0,15.0,11.0,12.0,15.0,13.0,275.0,"Réservé, Calme, Ambitieux, Passionné, Consciencieux",Christianisme,"Industrie pharmaceutique, Administration des entreprises",Informatique / Télécoms,"Passion personnelle, Opportunités de carrière, Salaire attractif, Sécurité de l'emploi, Évolution rapide, Possibilité de promotion",Formation initiale
Masculin,19,D,Lycee Houphouët Boigni de korhogo ,Korhogo ,"Mathematiques, SVT, Science Physique, Anglais, Histoire Geographie, PHYLOSOPHIE",Elevage,L'élevage ,17.0,12.0,13.0,12.5,14.0,12.0,13.0,14.0,12.0,15.0,11.0,12.0,15.0,14.0,282.0,"Chaleureux, Ambitieux, Passionné, Discipliné, Organisé, Polyvalent",Islam,Sciences humaines,Informatique / Télécoms,"Opportunités de carrière, Sécurité de l'emploi, Innovation et créativité","Formation initiale, Développement de compétences spécifiques, Gestion de projets, Certification ou formation continue"
Masculin,18,C,Lycée municipal de Port bouet ,Port bouet ,"Mathematiques, Science Physique, Anglais",Informatique / Télécoms,Informatique ,14.0,11.0,14.0,12.5,14.0,10.5,13.0,12.0,10.0,15.0,11.0,12.0,15.0,14.0,200.0,"Gai, Ouvert, Chaleureux, Facile, Calme",Christianisme,Achat / Transports / Logistique,Informatique / Télécoms,"Passion personnelle, Opportunités de carrière, Flexibilité, Formation académique","Certification ou formation continue, Reconnaissance professionnelle"
Féminin,17,C,Lycée moderne Leboutou de Dabou,Dabou,"Mathematiques, Anglais, Français",Droit,Non,12.0,14.0,16.0,13.0,15.0,12.0,10.0,11.0,13.0,15.0,11.0,12.0,15.0,14.0,230.0,"Autoritaire, Flegmatique, Obstiné, Cohérent, Ethique, Sociable",Christianisme,Études et conseils,Informatique / Télécoms,Opportunités de carrière,"Formation initiale, Stage ou apprentissage, Première expérience professionnelle, Développement de compétences spécifiques, Certification ou formation continue"
Masculin,16,C,Lycée Municipal Djibo Sounkalo de BOUAKE ,BOUAKÉ ,"Mathematiques, SVT, Science Physique, Espagnol, Anglais, Histoire Geographie, Français, PHYLOSOPHIE, EPS",BTP / Matériaux de construction,Non,15.0,12.0,14.0,12.5,16.0,12.0,11.0,12.0,12.0,14.0,11.0,12.0,15.0,14.0,261.0,"Ouvert, Energetique, Sympathique, Obstiné, Accessible, Ambitieux, Passionné, Attentif, Discipliné, Polyvalent, Visionnaire, Loyal, Motivé, Respectueux, Tolérant, Entreprenant, Consciencieux, Méthodique, Utile",Islam,"Banque / Assurance /Finances, Commerce / Négoce / Distribution, Informatique / Télécoms",Informatique / Télécoms,"Opportunités de carrière, Évolution rapide, Innovation et créativité, Environnement de travail agréable, Formation académique","Formation initiale, Stage ou apprentissage, Première expérience professionnelle, Développement de compétences spécifiques, Évolution de poste, Gestion de projets, Spécialisation dans un domaine, Certification ou formation continue, Résolution de défis majeurs, Reconnaissance professionnelle"
Masculin,16,C,Simone ehivet Gbagbo ,Yopougon ,Mathematiques,Informatique / Télécoms,Non,10.0,10.0,12.0,13.0,13.0,10.0,13.0,11.0,10.0,15.0,11.0,12.0,15.0,14.0,248.0,"Réservé, Changeant, Motivé, Transparent",Christianisme,Informatique / Télécoms,Informatique / Télécoms,Évolution rapide,Spécialisation dans un domaine
Masculin,20,D,Lycée moderne de goumere ,Cocody,"Mathematiques, SVT, Science Physique, Histoire Geographie, Français, PHYLOSOPHIE, EPS",Agriculture,Oui ,16.0,6.0,14.0,12.5,11.0,14.0,12.0,16.0,13.0,14.0,11.0,12.0,15.0,14.0,236.0,"Ouvert, Sérieux, Sympathique, Motivé, Consciencieux",Islam,"Agroalimentaire, Santé",Banque / Assurance /Finances,Passion personnelle,Première expérience professionnelle
Masculin,22,C,LYCEE HOUPHOUET BOIGNY DE KORHOGO,KORHOGO,"Mathematiques, Science Physique, Anglais, Histoire Geographie, Français",Banque / Assurance /Finances,"LEADERSHIP, ENTREPRENEURIAT, DEVOUEMENT",12.0,14.0,15.0,12.5,18.0,10.5,14.0,11.0,18.0,13.0,11.0,12.0,15.0,14.0,247.0,"Gai, Ouvert, Calme, Sympathique, Doux, Accessible, Ambitieux, Passionné, Attentif, Cohérent, Analytique, Discipliné, Innovant, Proactif, Logique, Respectueux, Tolérant, Sociable, Consciencieux, Diplomatique",Islam,"BTP / Matériaux de construction, Commerce / Négoce / Distribution, Électronique / Électricité",Banque / Assurance /Finances,"Passion personnelle, Opportunités de carrière","Stage ou apprentissage, Développement de compétences spécifiques, Expérience internationale, Résolution de défis majeurs"
Masculin,17,C,lycée moderne 1 de divo,divo,"Mathematiques, Science Physique, Anglais, Histoire Geographie, EPS",Métallurgie / Travail du métal,Non,14.0,8.0,15.0,12.5,10.0,3.0,3.0,6.0,11.0,14.0,11.0,12.0,15.0,14.0,226.0,"Ouvert, Chaleureux, Sérieux, Timide, Facile, Autoritaire, Energetique, Respectueux, Méthodique, Diplomatique",Christianisme,Études et conseils,Informatique / Télécoms,Passion personnelle,Formation initiale
Masculin,17,D,EMPT,Cocody,Mathematiques,Informatique / Télécoms,Non,17.0,15.0,12.0,12.0,12.0,15.0,15.0,15.0,15.0,16.0,15.0,16.0,14.0,17.0,338.0,Calme,Christianisme,Banque / Assurance /Finances,Informatique / Télécoms,Flexibilité,"Formation initiale, Stage ou apprentissage, Certification ou formation continue"
Masculin,18,C,Lycée Moderne San Pedro,San Pedro,"Mathematiques, Science Physique, Français",Machines et équipements / Automobile,Non,14.0,10.0,14.0,10.0,14.0,9.0,8.0,9.0,14.0,15.0,11.0,12.0,15.0,14.0,204.0,"Gai, Ouvert, Ambitieux, Passionné, Attentif, Discipliné, Perspicace, Logique, Sociable",Christianisme,"Commerce / Négoce / Distribution, Études et conseils",Informatique / Télécoms,"Opportunités de carrière, Flexibilité, Évolution rapide","Première expérience professionnelle, Développement de compétences spécifiques"
Masculin,17,C,Lycée classique d'Abidjan,Yopougon,Mathematiques,Informatique / Télécoms,Non,13.0,10.0,10.0,12.5,13.0,12.0,11.0,13.0,13.0,15.0,11.0,12.0,15.0,12.0,245.0,"Gai, Sérieux, Timide, Renfermé, Changeant, Calme, Sympathique, Discipliné, Organisé, Fiable, Visionnaire, Loyal, Respectueux, Sociable, Utile, Transparent",Christianisme,"Chimie / Parachimie, Commerce / Négoce / Distribution, Études et conseils, Informatique / Télécoms",Informatique / Télécoms,Passion personnelle,Stage ou apprentissage
Masculin,17,D,Lycée moderne d’issia ,Cocody,"Mathematiques, SVT, Science Physique, Anglais",Informatique / Télécoms,Non,15.0,15.0,16.0,17.0,18.0,10.0,19.0,14.0,17.0,13.0,11.0,12.0,15.0,14.0,290.0,"Autoritaire, Energetique, Sympathique, Ambitieux, Motivé, Optimiste, Respectueux",Christianisme,"Commerce / Négoce / Distribution, Études et conseils",Informatique / Télécoms,"Opportunités de carrière, Salaire attractif, Impact social, Innovation et créativité",Formation initiale
Féminin,18,C,Lycée municipal de Port Bouet ,Gonzague ,"Mathematiques, Science Physique",Arts,Non,17.0,13.0,13.0,12.5,10.0,6.0,14.0,13.0,5.0,17.0,11.0,12.0,17.0,14.0,267.0,"Réservé, Timide, Sympathique, Passionné, Idéaliste, Optimiste",Christianisme,"Bois / Papier / Carton / Imprimerie, BTP / Matériaux de construction, Commerce / Négoce / Distribution, Hotellerie, Arts",Arts,"Passion personnelle, Sécurité de l'emploi","Développement de compétences spécifiques, Gestion de projets, Spécialisation dans un domaine, Résolution de défis majeurs"
Masculin,16,C,Lycée Moderne 2 d'odienne ,Odienne ,"Mathematiques, Science Physique, Anglais, Histoire Geographie, Français, PHYLOSOPHIE",Informatique / Télécoms,"Observation, concentration et patience",10.0,12.0,14.0,14.0,14.0,12.0,10.0,10.0,16.0,14.0,11.0,12.0,15.0,14.0,208.0,"Réservé, Sérieux, Timide, Calme, Sympathique, Obstiné, Ambitieux, Passionné, Attentif, Cohérent, Fiable, Polyvalent, Confiant, Loyal, Respectueux, Tolérant, Sociable, Consciencieux, Utile, Transparent",Islam,"Édition / Communication / Multimédia, Agriculture",Informatique / Télécoms,"Opportunités de carrière, Sécurité de l'emploi, Innovation et créativité","Stage ou apprentissage, Première expérience professionnelle"
Masculin,15,D,LYCÉE CLASSIQUE D'ABIDJAN ,Cocody,"Mathematiques, SVT, PHYLOSOPHIE",Santé,Non,18.0,8.0,14.0,12.5,11.0,10.0,17.0,13.0,11.0,10.0,11.0,12.0,15.0,17.0,287.0,"Timide, Calme, Sympathique, Discipliné, Logique, Loyal, Sociable",Christianisme,"Informatique / Télécoms, Achat / Transports / Logistique, Santé",Informatique / Télécoms,Passion personnelle,Formation initiale
Masculin,20,C,Lycée Hamed Bakayoko Abobo Pk 18,Abobo,"Mathematiques, Science Physique, Anglais",BTP / Matériaux de construction,aucune compétence technique,12.0,8.0,14.0,12.5,14.0,10.0,14.0,15.0,10.0,15.0,11.0,12.0,15.0,14.0,243.0,"Ouvert, Sympathique, Respectueux, Sociable, Consciencieux",Islam,"Agroalimentaire, BTP / Matériaux de construction",Informatique / Télécoms,"Opportunités de carrière, Sécurité de l'emploi",Reconnaissance professionnelle
Féminin,17,D,Lycée internationale Descarte,Koumassi,"Mathematiques, SVT, Science Physique",Santé,Non,18.0,10.0,14.0,12.5,15.0,10.0,14.0,14.0,7.0,15.0,11.0,12.0,15.0,14.0,272.0,"Réservé, Facile, Calme, Confiant, Loyal",Islam,"Commerce / Négoce / Distribution, Agriculture, Elevage",Informatique / Télécoms,"Opportunités de carrière, Salaire attractif, Sécurité de l'emploi, Évolution rapide","Formation initiale, Développement de compétences spécifiques"
Masculin,18,D,lycee municipal de koumassi,koumassi,"Mathematiques, SVT, Science Physique, Histoire Geographie, Français, PHYLOSOPHIE, EPS",Agroalimentaire,Non,14.0,9.0,11.0,15.0,15.0,12.0,18.0,15.0,10.0,16.0,11.0,12.0,15.0,14.0,285.0,"Timide, Renfermé",Christianisme,"Agroalimentaire, Banque / Assurance /Finances, Informatique / Télécoms",Informatique / Télécoms,Influence familiale ou amicale,Certification ou formation continue
